current_action,predicted_action,Llama-3.2_model_reply
take carrot,put-in rubbish,I'll wash the carrot.
cut onion,cut garlic,wash the onion.
open bagplastic,pour-in blueberry,I will wash the plastic bag.
wipe hand,place garlic,wash
pour oil,chop garlic,fetch oil.
take-from juicer,put-on toweltea,wash the juicer.
remove ladder,open can,fetch the ladder.
move boardchopping,remove packagingmeat,fetch ingredients.
close locker,clean table,fetch ingredients
slice carrot,put-down peelercarrot,wash the carrot.
cut lettuce,put-inside lettuce,wash lettuce.
flip-in meat,end_of_video,Wash meat.
put-down potato,move boardcutting,I'll wash the potato.
fill bowlsalad,lather utensil,wash the salad bowls.
put-in saucepan,close oven,fetch saucepan
clear rubbish,rinse clothwiping,Wash utensils.
pick-up box,open box,fetch
put-down spatula,put-down thermometer,I'm washing the spatula.
pick-up piecebakingpaper,remove shelf,I'll wash the baking paper.
rinse glass,put-down glass,Wash the glass.
stir-in onion,increase-on heat,wash the onion.
pick-up bagcarrot,slice carrot,I'll wash the bagcarrot.
pick-up doughremaining,oil hand,fetch dough
turn grindercoffee,put-down grindercoffee,wash the grinder.
put-down slicebread,pick-up cream,I'll wash the bread.
pick-up bagempty,throw bag,fetch bag
eat courgette,chew-on courgette,Wash the courgette.
close bottleoil,pick-up egg,fetch oil
pour water,pick-up glass,fetch water.
slide peelonion,close bincompost,I'll wash the peeler.
stir ingredient,chop chilli,wash the pot.
sponge boardchopping,rinse boardchopping,I'll wash the board.
open filter,move glass,I'm washing the filter.
pick-up rollclingfilm,pull-off filmcling,fetch rollclingfilm
put-down chopstick,pick-up containerfood,I'll wash the chopstick.
remove peach,remove peeling,I'll wash the peach.
roll egg,collect-from spatula,I'll wash the egg.
empty water,stir mixture,fetch water.
scoop powdercocoa,pour-into powdercocoa,I'll wash the scoop.
drain glass,put-down glass,Drain glass.
pick olive,put-down olive,I'll wash the olive.
put-down olive,cut olive,I'll wash the olive.
put-down matplace,put-down cutlery,I'll wash the dishes.
pick-up cloth,put-down mug,fetch cloth
take spatula,close dishwasher,I'm washing the spatula.
stir courgette,put-down spatula,I'll wash the courgette.
cut bread,open rollsandwich,wash bread.
put-down bottlewashingliquid,throw peelgarlic,fetch bottlewashing liquid
tap strainersink,put-in strainersink,fetch strainers
pour salt,put-down salt,fetch salt
pick-up bowlsugar,put-down teaspoon,I'll wash the bowls.
pick-up glass,shake hand,I'm washing the glass.
take spoonwooden,stir pasta,I'll wash the spoonwooden.
clean matplace,move napkin,fetch dishes
pick-up potato,put-down flour,fetch potato
flip basepizza,pick-up flour,I'm washing the base pizza.
pick-up tomatochopped,shake can,I'll wash the tomatoes.
pick-up spice,fill-with mug,fetch spice
attach clip,pick-up salt,Attach clip.
pull rollkitchen,blow nose,fetch ingredients
slice paneer,cut-into cube,Wash the paneer.
lift traybaking,drag-through spatula,fetch traybaking
put-into tofu,move-with tofu,I'll wash the tofu.
put-down packetcheese,seal bitcheesepacket,I'll wash the packet cheese.
put-in hummus,gather pieceonionskin,wash the bowl
put-down cloth,pick-up mop,I'll wash the cloth.
push bread,cut crustbread,I'll wash the bread.
pick-up brushpastry,brush-with dough,fetch pastry
pick-up pizza,pick-up oil,fetch pizza
pick-up liquidwashing,put liquidwashing,fetch liquid
cut chilli,pick-up chilli,Wash the chilli.
pick-up traybaking,put-down traybaking,fetch
close spice,put spice,I'll wash the spices.
take spatula,wear gloveoven,I'm washing the spatula.
put fingerlady,mix curry,fetch water.
put-down strainer,pick-up strainer,I'll wash the strainer.
stir courgette,put spoonwooden,I'll wash the courgette.
put-down cloth,rinse hand,I'll wash the cloth.
open bag,pour stoneolive,I'll wash the bag.
tap strainerteapot,empty strainerteapot,I'm washing the strainerteapot.
pour oil,put-down oil,fetch oil.
put liquidwashing,pick-up teapot,fetch liquid
open chilli,chop chilli,Wash the chilli.
put-on bottomspringform,pick-up gratercheese,I'll wash the bottom springform.
put-down spatula,pick-up bag,I'm washing the spatula.
use-to spade,move egg,I'm washing the utensils.
put-down matplace,pick-up spatula,I'll wash the dishes.
take box,open box,fetch box.
rinse glass,fill glass,Wash the glass.
sponge glass,rinse glass,I'll wash the sponge glass.
pick-up tabletdishwasher,open tabletdishwasher,fetch dishes
squirt cleaner,put cleaner,fetch the cleaner.
put-into mushroom,take aubergine,I'll wash the mushroom.
remove leaflettuce,put-into lettuce,I'll wash the lettuce.
discard skingarlic,peel skingarlic,Discard skingarlic.
pick-up scissors,open bagspaghetti,fetch scissors
put cloth,take glass,fetch cloth
take colander,place cookie,I'll wash the colander.
empty bowlwashingup,put-on kettle,fetch ingredients
take saucepan,put saucepan,fetch saucepan
take stock,put-down stock,fetch ingredients.
take spatula,take cutlery,I'm washing the spatula.
take chillired,cut chillired,I'll wash the chilled ingredients.
chop bitdust,put-down boardchopping,I'll wash the chop bitdust.
pick-up cloth,rinse cloth,fetch cloth
take carrot,put-in carrot,I'll wash the carrot.
put-down glass,take spatula,I'll wash the glass.
remove-out ginger,put-on top,I'll wash the ginger.
put-down yoghurtgreek,move gloveoven,I'll wash the yoghurt.
pick-up bag,put-down egg,fetch bag.
put-down phone,pick-up glass,fetch ingredients.
put-in binfood,end_of_video,fetch vegetables
pick-up ramekin,take-out brush,fetch ramekin
stir meat,flip-in meat,Wash meat.
put-down pepper,pick-up spatula,I'll wash the pepper.
open containeroil,pour-into oil,I'll wash the oil.
put-into bowlglass,grab piecelettuce,I'll wash the bowlglass.
dry hand,put-down paper,I'll wash the utensils.
put-down cheese,pick-up grater,fetch cheese
put-in rubbish,wash hand,fetch the rubbish
cut garlic,crush garlic,wash the garlic.
pour-in blueberry,pour-in cherry,fetch blueberries
place garlic,wipe hand,Place garlic on counter.
chop garlic,get scissors,Wash garlic.
put-on toweltea,scrape-from butter,I'll wash the towel.
open can,rinse cornsweet,I'll wash the can.
remove packagingmeat,cut packagingmeat,I'll wash the meat.
clean table,put cloth,fetch dishes
put-down peelercarrot,cut carrot,I'll wash the carrot.
put-inside lettuce,close sachet,I'll wash the lettuce.
move boardcutting,pick-up onion,fetch cutting board.
lather utensil,empty bowlsalad,fetch utensils
close oven,test water,I'll wash the oven.
rinse clothwiping,squeeze clothwiping,Wipe cloth with warm water.
open box,grab remote,I'm washing the box.
put-down thermometer,pick-up curdcheese,I'll wash the thermometer.
remove shelf,throw paper,fetch ingredients
put-down glass,rinse glass,I'll wash the glass.
increase-on heat,open pesto,"### action list:
- wash
- dry
- cut
- slice
- mix
- pour
- fetch
- clean
- stabilize
- bring"
slice carrot,slice cucumber,wash the carrot.
oil hand,knead dough,I'll wash the oil.
put-down grindercoffee,open machinecoffee,fetch coffee beans
pick-up cream,spread cream,fetch cream
throw bag,open bagpistachio,I'll wash the bag.
chew-on courgette,rinse courgette,wash the courgette
pick-up egg,crack egg,I'll wash the egg.
pick-up glass,pour water,I'm washing the glass.
close bincompost,put-down boardchopping,fetch bincompost
chop chilli,put-down coffee,I'll wash the chilli.
rinse boardchopping,put-in boardchopping,Wash the board.
move glass,turn-on grindercoffee,fetch glass
pull-off filmcling,tear-off filmcling,I'll wash the filmcling.
pick-up containerfood,put-down containerfood,fetch containerfood
remove peeling,put-down peeling,I'll wash the vegetables.
collect-from spatula,roll-out omelette,fetch
stir mixture,hold tub,Wash the utensils.
pour-into powdercocoa,put-down can,fetch powdercocoa
put-down glass,pick-up glass,I'll wash the glass.
put-down olive,cut olive,I'll wash the olive.
cut olive,remove stoneolive,I'll wash the olive.
put-down cutlery,remove cheese,fetch utensils
put-down mug,pick-up mug,fetch water.
close dishwasher,open dishwasher,fetch dishwasher.
put-down spatula,pick-up glass,I'm washing the spatula.
open rollsandwich,pick-up mozzarella,fetch rollsandwich
throw peelgarlic,take-off glove,I'll wash the peelgarlic.
put-in strainersink,put-in bitfood,fetch strainers
put-down salt,stir pasta,fetch salt
put-down teaspoon,pick-up saucer,I'll wash the teaspoon.
shake hand,pick-up cloth,I'll wash the chef's hands.
stir pasta,stir sauce,Wash pasta.
move napkin,pick-up matplace,fetch napkin
put-down flour,move box,fetch flour
pick-up flour,brush flour,fetch flour
shake can,open can,I'll wash the can.
fill-with mug,pour-out water,fetch mug
pick-up salt,pour salt,fetch salt
blow nose,pick-up rollsesame,wash
cut-into cube,end_of_video,I'll wash the ingredients.
drag-through spatula,put-down traybaking,fetch
move-with tofu,pick-up piecetofu,Wash the tofu.
seal bitcheesepacket,pick-up butter,I'll wash the bitcheepacket.
gather pieceonionskin,pick-up pieceonionskin,I'll wash the onions.
pick-up mop,wash floor,I'll wash the mop.
cut crustbread,cut slicebread,Wash crustbread.
brush-with dough,smooth-into oil,I'll wash the dough.
pick-up oil,pour oil,fetch oil.
put liquidwashing,put-down liquidwashing,fetch liquid
pick-up chilli,put-in chilli,I'll wash the chilli.
put-down traybaking,pick-up glass,fetch traybaking
put spice,put food,wash the spice
wear gloveoven,stir vegetable,I'll wash the utensils.
mix curry,put coverplastic,fetch spices.
pick-up strainer,put-in biscuit,I'm washing the strainer.
put spoonwooden,grab salt,I'll wash the spoonwooden.
rinse hand,fill carafe,wash
pour stoneolive,pour tomato,fetch stoneolive
empty strainerteapot,rinse strainerteapot,I'm going to wash the strainerteapot.
put-down oil,pull rollkitchen,I'll wash the pot.
pick-up teapot,take teapot,fetch teapot
chop chilli,taste rubbish,I'll wash the chilli.
pick-up gratercheese,soak gratercheese,I'll wash the grater.
pick-up bag,open bag,fetch bag.
move egg,change chopstick,fetch egg
pick-up spatula,lather spatula,fetch
open box,take salt,I'm washing the box.
fill glass,rinse glass,wash glass.
rinse glass,put-in glass,Wash the glass.
open tabletdishwasher,put-in tabletdishwasher,fetch dishes
put cleaner,wipe tile,I'll wash the cleaner.
take aubergine,put-down aubergine,I'll wash the aubergine.
put-into lettuce,take leaflettuce,I'll wash the lettuce.
peel skingarlic,discard skingarlic,I'll wash the skingarlic.
open bagspaghetti,take spaghetti,I'll wash the spaghetti.
take glass,clean glass,I'll wash the glass.
place cookie,close packagecookie,fetch cookie
put-on kettle,take box,fetch water.
put saucepan,take box,fetch saucepan
put-down stock,wait water,fetch stock.
take cutlery,put-down cloth,fetch cutlery
cut chillired,take garlic,I'll wash the chilled ingredients.
put-down boardchopping,pick-up pepper,I'll wash the board.
rinse cloth,rinse hand,fetch water.
put-in carrot,cut-into carrot,I'll wash the carrot.
take spatula,stir vegetable,I'm washing the spatula.
put-on top,take liquidwashing,I'll wash the utensil.
move gloveoven,look-inside oven,fetch gloveoven.
put-down egg,pour oil,I'll wash the egg.
pick-up glass,rinse glass,I'm washing the glass.
take-out brush,put-in brushpastry,I'll wash the brush.
flip-in meat,stir meat,Wash meat.
pick-up spatula,move meat,fetch
pour-into oil,close containeroil,fetch oil.
grab piecelettuce,wash-with watertap,I'll wash the lettuce.
put-down paper,flip aubergine,I'll wash the paper.
pick-up grater,pick-up salt,I'm washing the grater.
wash hand,end_of_video,wash
crush garlic,cut garlic,wash the garlic.
pour-in cherry,put-in cherry,fetch the cherry
wipe hand,open dishwasher,wash
get scissors,get boardchopping,fetch scissors
scrape-from butter,scrape-out butter,wash the butter.
rinse cornsweet,fill-with water,fetch cornsweet
cut packagingmeat,cut meat,wash meat
put cloth,pick-up potsmall,fetch cloth
cut carrot,pick-up carrot,wash the carrot.
close sachet,put-in lettuce,I'll wash the sachet.
pick-up onion,put-down onion,wash onion
empty bowlsalad,lather utensil,I'll wash the empty bowlsalad bowls.
test water,pick-up lidsaucepan,I'll wash the water.
squeeze clothwiping,put-down clothwiping,I'll wash the cloth.
grab remote,put-down box,fetching ingredients.
pick-up curdcheese,tip-out water,fetch curd cheese
throw paper,pick-up egg,I'll wash the paper.
rinse glass,put-down glass,Wash the glass.
open pesto,scoop pesto,I'll wash the pesto.
slice cucumber,wipe-into piececucumber,Wash cucumber.
knead dough,shape balldough,Wash the dough.
open machinecoffee,put groundcoffee,I'll wash the coffee machine.
spread cream,put-down peach,I'll wash the bowl.
open bagpistachio,put-down scissors,I'll wash the bagpistachio.
rinse courgette,stir courgette,I'll wash the courgette.
crack egg,put-down egg,I'm washing the egg.
pour water,put-down glass,fetch water.
put-down boardchopping,chop onion,I'll wash the board.
put-down coffee,chop chilli,fetch coffee beans
put-in boardchopping,pick-up glove,fetch ingredients
turn-on grindercoffee,put-into filter,fetch coffee beans
tear-off filmcling,put-down rollclingfilm,I'll wash the filmcling.
put-down containerfood,pick-up boardcutting,fetch containerfood
put-down peeling,pick-up peach,I'll wash the vegetables.
roll-out omelette,pick-up matsushi,I'll wash the omelette pan.
hold tub,check time,fetch water.
put-down can,pick-up spoonwooden,I'll wash the utensils.
pick-up glass,drain glass,I'm washing the glass.
cut olive,remove stoneolive,I'll wash the olive.
remove stoneolive,cut olive,I'll wash the stoneolive.
remove cheese,pour egg,fetch cheese
pick-up mug,put-down mug,I'm washing the mug.
open dishwasher,pull drawerdishwasher,fetch dishes
pick-up glass,pour water,I'm washing the glass.
pick-up mozzarella,cut mozzarella,I'll wash the mozzarella.
take-off glove,set-off timer,I'll wash the take-off glove.
put-in bitfood,pick-up bowlwashingup,fetch bitfood
stir pasta,pick-up paper,Wash pasta.
pick-up saucer,open coffee,fetch saucer
pick-up cloth,rinse cloth,fetch cloth
stir sauce,put-down spoonwooden,wash the saucepan.
pick-up matplace,put-down cloth,I'm washing the dishes.
move box,pick-up pasta,fetch box
brush flour,cut dough,I'll wash the flour.
open can,pour-into tomatochopped,I'll wash the can.
pour-out water,fill-with mug,fetch water.
pour salt,stir mushroom,fetch salt
pick-up rollsesame,put rollsesame,I'll wash the rolls.
put-down traybaking,pick-up scourer,fetch traybaking
pick-up piecetofu,select settingoven,I'll wash the tofu.
pick-up butter,put-into cheese,fetch butter
pick-up pieceonionskin,throw-into pieceonionskin,I'll wash the onions.
